person_id,name,role,community,age
82,Antonio Bruno,Enabler,0,52
83,Antonio Conti,Peripheral,0,40
84,Domenico Colombo,Peripheral,0,36
85,Luigi Russo,Peripheral,0,45
86,Pietro Colombo,Peripheral,0,41
87,Luigi Ricci,Peripheral,0,64
88,Mario Bianchi,Enabler,0,37
89,Mario Vitale,Broker,0,56
90,Giuseppe Bruno,Broker,0,61
91,Carlo Russo,Peripheral,0,39
92,Domenico Marino,Peripheral,0,36
93,Paolo Bianchi,Peripheral,0,39
94,Paolo Bruno,Peripheral,0,58
95,Vincenzo Russo,Enabler,0,30
96,Giovanni Colombo,Peripheral,0,41
97,Antonio Ricci,Peripheral,0,44
98,Giuseppe Gallo,Broker,0,33
99,Carlo Bianchi,Peripheral,0,29
100,Mario Conti,Peripheral,0,47
101,Antonio Marino,Peripheral,0,57
102,Francesco Vitale,Peripheral,0,62
103,Domenico Bianchi,Peripheral,0,38
104,Marco Bruno,Enabler,0,41
105,Mario Greco,Enabler,0,43
106,Salvatore Ferrari,Peripheral,0,57
107,Vincenzo Conti,Enabler,0,25
108,Antonio Marino,Enabler,0,37
109,Paolo Marino,Enabler,0,51
110,Giuseppe Greco,Peripheral,0,30
111,Vincenzo Ricci,Peripheral,0,30
112,Giuseppe Russo,Enabler,0,57
113,Vincenzo Vitale,Peripheral,0,54
114,Paolo Bianchi,Peripheral,0,59
115,Salvatore Rossi,Peripheral,0,47
116,Salvatore Greco,Peripheral,0,34
117,Francesco Russo,Broker,0,43
118,Carlo Ricci,Peripheral,0,52
119,Marco Russo,Peripheral,0,47
120,Paolo Marino,Peripheral,0,28
121,Paolo Ferrari,Broker,0,44
122,Antonio Bruno,Broker,0,43
123,Angelo Marino,Peripheral,0,51
124,Antonio Bianchi,Peripheral,0,58
125,Mario Vitale,Broker,1,28
126,Luigi Colombo,Broker,1,62
127,Salvatore Marino,Peripheral,1,31
128,Paolo Gallo,Enabler,1,31
129,Carlo Esposito,Broker,1,50
130,Carlo Bianchi,Peripheral,1,50
131,Pietro Bruno,Enabler,1,43
132,Domenico Romano,Enabler,1,33
133,Angelo Marino,Peripheral,1,44
134,Angelo Russo,Peripheral,1,40
135,Salvatore Esposito,Peripheral,1,41
136,Francesco Romano,Broker,1,46
137,Giuseppe Greco,Peripheral,1,37
138,Mario Esposito,Enabler,1,36
139,Luigi Esposito,Enabler,1,34
140,Giuseppe Russo,Coordinator,1,25
141,Carlo Bruno,Broker,1,56
142,Giuseppe Esposito,Enabler,1,54
143,Francesco Rossi,Peripheral,1,32
144,Marco Romano,Peripheral,1,45
145,Francesco Marino,Peripheral,1,46
146,Salvatore Bianchi,Peripheral,1,42
147,Domenico Ricci,Peripheral,1,26
148,Salvatore Marino,Peripheral,1,33
149,Antonio Gallo,Peripheral,1,27
150,Luigi Greco,Peripheral,1,50
151,Angelo Esposito,Peripheral,1,45
152,Paolo Ricci,Broker,1,54
153,Paolo Colombo,Peripheral,1,52
154,Salvatore Russo,Peripheral,1,60
155,Francesco Bruno,Broker,1,50
156,Pietro Romano,Peripheral,1,58
157,Pietro Colombo,Enabler,1,32
158,Angelo Vitale,Peripheral,1,34
159,Carlo Rossi,Broker,1,38
160,Domenico Bruno,Enabler,1,64
161,Domenico Russo,Broker,1,39
162,Giuseppe Colombo,Peripheral,1,41
163,Carlo Romano,Peripheral,1,42
164,Paolo Vitale,Peripheral,1,56
165,Francesco Esposito,Peripheral,1,62
166,Salvatore Esposito,Peripheral,1,47
167,Mario Ricci,Peripheral,1,47
168,Antonio Colombo,Enabler,1,59
169,Antonio Bianchi,Peripheral,1,63
170,Angelo Esposito,Peripheral,1,39
171,Marco Russo,Enabler,1,48
172,Angelo Conti,Peripheral,1,52
173,Marco Vitale,Broker,1,40
174,Mario Russo,Broker,1,40
175,Giuseppe Bruno,Peripheral,1,64
176,Mario Vitale,Peripheral,1,63
177,Giuseppe Russo,Broker,1,30
178,Paolo Vitale,Broker,1,26
179,Salvatore Ferrari,Peripheral,1,37
180,Pietro Ricci,Peripheral,1,33
181,Angelo Esposito,Peripheral,1,58
182,Marco Colombo,Enabler,1,41
183,Giuseppe Ferrari,Peripheral,1,51
184,Pietro Rossi,Peripheral,1,53
185,Pietro Bianchi,Peripheral,1,61
186,Paolo Conti,Enabler,1,46
187,Angelo Bianchi,Enabler,1,48
188,Pietro Gallo,Peripheral,1,31
189,Carlo Conti,Peripheral,1,58
190,Mario Bruno,Enabler,1,36
191,Carlo Ricci,Enabler,1,47
192,Antonio Esposito,Peripheral,1,39
193,Giovanni Esposito,Peripheral,1,57
194,Giuseppe Greco,Peripheral,1,37
195,Carlo Marino,Peripheral,1,47
196,Giuseppe Gallo,Peripheral,1,62
197,Vincenzo Rossi,Enabler,1,56
198,Giuseppe Greco,Peripheral,1,59
199,Angelo Marino,Peripheral,1,25
200,Marco Marino,Enabler,1,29
201,Antonio Rossi,Enabler,1,37
202,Mario Russo,Broker,1,29
203,Marco Ferrari,Peripheral,1,56
204,Francesco Greco,Peripheral,1,45
205,Francesco Bruno,Peripheral,1,48
206,Marco Esposito,Broker,1,42
207,Pietro Russo,Peripheral,1,45
208,Luigi Esposito,Peripheral,1,34
209,Luigi Greco,Enabler,1,48
210,Giuseppe Greco,Enabler,1,64
211,Francesco Colombo,Peripheral,1,45
212,Domenico Greco,Broker,1,49
213,Luigi Marino,Enabler,1,47
214,Vincenzo Bianchi,Peripheral,1,46
215,Salvatore Bruno,Peripheral,1,28
216,Carlo Romano,Broker,1,58
217,Salvatore Bianchi,Peripheral,1,30
218,Pietro Ferrari,Peripheral,1,52
219,Domenico Bruno,Peripheral,1,55
220,Giovanni Ricci,Enabler,1,59
221,Vincenzo Conti,Enabler,1,63
222,Francesco Rossi,Peripheral,1,47
223,Angelo Greco,Peripheral,1,30
224,Luigi Russo,Enabler,1,40
225,Francesco Marino,Peripheral,1,26
226,Salvatore Marino,Peripheral,1,48
227,Giovanni Ferrari,Enabler,1,41
228,Vincenzo Russo,Enabler,1,25
229,Salvatore Romano,Peripheral,1,30
230,Giovanni Ferrari,Peripheral,1,29
231,Angelo Vitale,Peripheral,1,53
232,Mario Gallo,Peripheral,1,36
233,Giovanni Greco,Enabler,1,63
234,Paolo Bruno,Broker,1,27
235,Mario Rossi,Peripheral,1,25
236,Domenico Vitale,Enabler,1,51
237,Mario Bianchi,Peripheral,1,48
238,Domenico Russo,Peripheral,1,43
239,Antonio Bianchi,Broker,1,32
240,Francesco Russo,Coordinator,1,26
241,Carlo Marino,Enabler,1,54
242,Antonio Bianchi,Peripheral,1,54
243,Giovanni Greco,Peripheral,1,63
244,Salvatore Gallo,Enabler,1,56
245,Vincenzo Esposito,Peripheral,1,25
246,Domenico Bruno,Enabler,1,62
247,Marco Bianchi,Peripheral,1,37
248,Mario Ricci,Broker,1,35
249,Giovanni Vitale,Peripheral,1,34
250,Giuseppe Russo,Peripheral,2,50
251,Domenico Colombo,Peripheral,2,44
252,Marco Bianchi,Peripheral,2,41
253,Giuseppe Rossi,Broker,2,41
254,Vincenzo Conti,Peripheral,2,28
255,Antonio Bruno,Peripheral,2,29
256,Giovanni Ferrari,Peripheral,2,47
257,Carlo Ricci,Enabler,2,34
258,Mario Gallo,Enabler,2,52
259,Pietro Marino,Peripheral,2,57
260,Giuseppe Russo,Peripheral,2,50
261,Francesco Gallo,Peripheral,2,53
262,Antonio Marino,Peripheral,2,51
263,Giuseppe Vitale,Peripheral,2,42
264,Vincenzo Greco,Enabler,2,64
265,Mario Ferrari,Enabler,2,34
266,Pietro Ferrari,Peripheral,2,29
267,Giuseppe Bianchi,Peripheral,2,34
268,Vincenzo Conti,Peripheral,2,45
269,Marco Rossi,Enabler,2,48
270,Vincenzo Esposito,Peripheral,2,62
271,Domenico Esposito,Peripheral,2,27
272,Domenico Russo,Peripheral,2,64
273,Vincenzo Conti,Peripheral,2,55
274,Mario Vitale,Broker,2,61
275,Pietro Greco,Peripheral,2,26
276,Carlo Ferrari,Peripheral,2,26
277,Salvatore Vitale,Peripheral,2,63
278,Antonio Conti,Peripheral,2,58
279,Paolo Ferrari,Broker,2,44
280,Pietro Rossi,Peripheral,2,57
281,Antonio Gallo,Broker,2,28
282,Vincenzo Conti,Peripheral,2,35
283,Pietro Conti,Peripheral,2,29
284,Domenico Vitale,Enabler,2,49
285,Carlo Conti,Enabler,2,61
286,Salvatore Bianchi,Peripheral,2,58
287,Antonio Conti,Peripheral,2,33
288,Carlo Russo,Peripheral,2,30
289,Pietro Vitale,Peripheral,2,42
290,Giuseppe Vitale,Broker,2,38
291,Angelo Esposito,Enabler,2,43
292,Salvatore Vitale,Peripheral,2,38
293,Angelo Romano,Peripheral,2,64
294,Giovanni Vitale,Broker,2,41
295,Paolo Vitale,Peripheral,2,59
296,Salvatore Esposito,Enabler,2,53
297,Giuseppe Bruno,Peripheral,2,41
298,Salvatore Colombo,Broker,2,32
299,Vincenzo Bianchi,Broker,2,25
300,Marco Russo,Enabler,2,60
301,Paolo Bianchi,Peripheral,2,31
302,Vincenzo Bruno,Coordinator,2,29
303,Mario Colombo,Broker,2,48
304,Domenico Vitale,Broker,2,52
305,Mario Romano,Peripheral,2,41
306,Giuseppe Russo,Peripheral,2,61
307,Giovanni Ferrari,Peripheral,2,44
308,Luigi Bianchi,Peripheral,2,27
309,Giuseppe Russo,Enabler,2,61
310,Luigi Colombo,Peripheral,2,50
311,Vincenzo Gallo,Broker,2,39
312,Paolo Romano,Peripheral,2,32
313,Pietro Greco,Enabler,2,37
314,Mario Russo,Broker,2,27
315,Pietro Greco,Enabler,2,25
316,Salvatore Bianchi,Peripheral,2,33
317,Giuseppe Gallo,Broker,2,55
318,Pietro Rossi,Peripheral,2,50
319,Mario Conti,Peripheral,2,41
320,Mario Bruno,Peripheral,2,58
321,Carlo Gallo,Broker,2,33
322,Carlo Bruno,Peripheral,2,37
323,Salvatore Romano,Enabler,2,29
324,Pietro Russo,Peripheral,2,37
325,Domenico Romano,Peripheral,2,25
326,Luigi Romano,Enabler,2,49
327,Domenico Vitale,Peripheral,2,28
328,Francesco Gallo,Peripheral,2,60
329,Giovanni Marino,Peripheral,2,34
330,Giovanni Bruno,Broker,2,52
331,Pietro Romano,Peripheral,2,30
332,Pietro Gallo,Enabler,2,51
333,Giovanni Marino,Enabler,2,36
334,Antonio Esposito,Peripheral,2,27
335,Pietro Bruno,Peripheral,2,57
336,Pietro Bruno,Peripheral,2,34
337,Carlo Ferrari,Enabler,2,55
338,Luigi Greco,Enabler,2,39
339,Giovanni Colombo,Enabler,2,31
340,Mario Vitale,Peripheral,2,60
341,Giuseppe Bianchi,Peripheral,2,38
342,Giovanni Esposito,Peripheral,2,38
343,Pietro Conti,Peripheral,2,27
344,Luigi Greco,Peripheral,2,27
345,Domenico Romano,Peripheral,2,46
346,Angelo Ricci,Peripheral,2,43
347,Angelo Bruno,Peripheral,2,59
348,Salvatore Marino,Enabler,2,36
349,Angelo Conti,Peripheral,2,29
350,Paolo Gallo,Enabler,2,34
351,Antonio Bruno,Peripheral,2,57
352,Francesco Bianchi,Broker,2,37
353,Mario Bruno,Broker,2,59
354,Domenico Greco,Enabler,2,56
355,Vincenzo Russo,Peripheral,2,35
356,Marco Conti,Enabler,2,62
357,Salvatore Bruno,Enabler,2,48
358,Giovanni Esposito,Coordinator,2,59
359,Paolo Esposito,Broker,2,43
360,Antonio Rossi,Peripheral,2,30
361,Giuseppe Esposito,Enabler,2,64
362,Angelo Greco,Peripheral,2,59
363,Marco Conti,Broker,2,28
364,Francesco Ricci,Peripheral,2,57
365,Pietro Bruno,Peripheral,2,37
366,Luigi Esposito,Peripheral,2,60
367,Carlo Gallo,Enabler,2,43
368,Pietro Ricci,Peripheral,2,36
369,Pietro Esposito,Enabler,2,35
370,Antonio Bruno,Enabler,2,30
371,Carlo Rossi,Peripheral,2,36
372,Paolo Vitale,Peripheral,2,51
373,Paolo Russo,Peripheral,2,49
374,Paolo Colombo,Peripheral,2,27
375,Salvatore Ferrari,Enabler,3,27
376,Paolo Gallo,Peripheral,3,44
377,Mario Ricci,Peripheral,3,52
378,Giuseppe Marino,Peripheral,3,47
379,Salvatore Vitale,Peripheral,3,27
380,Francesco Ricci,Peripheral,3,48
381,Antonio Conti,Peripheral,3,64
382,Angelo Bruno,Peripheral,3,30
383,Mario Marino,Enabler,3,44
384,Luigi Romano,Peripheral,3,35
385,Paolo Ricci,Peripheral,3,56
386,Luigi Vitale,Peripheral,3,51
387,Carlo Marino,Peripheral,3,45
388,Pietro Vitale,Peripheral,3,37
389,Mario Ricci,Peripheral,3,46
390,Antonio Gallo,Enabler,3,59
391,Marco Ricci,Peripheral,3,46
392,Angelo Bianchi,Peripheral,3,52
393,Paolo Esposito,Enabler,3,45
394,Marco Bruno,Enabler,3,42
395,Giovanni Conti,Enabler,3,55
396,Paolo Marino,Peripheral,3,61
397,Angelo Bruno,Peripheral,3,45
398,Salvatore Bianchi,Broker,3,38
399,Angelo Russo,Peripheral,3,49
400,Carlo Bianchi,Peripheral,3,51
401,Salvatore Bianchi,Peripheral,3,64
402,Vincenzo Romano,Peripheral,3,47
403,Mario Russo,Peripheral,3,55
404,Antonio Ferrari,Peripheral,3,53
405,Salvatore Colombo,Enabler,3,54
406,Carlo Ferrari,Broker,3,50
407,Carlo Esposito,Peripheral,3,44
408,Francesco Colombo,Enabler,3,62
409,Pietro Romano,Peripheral,3,43
410,Mario Ricci,Enabler,3,51
411,Pietro Rossi,Peripheral,3,49
412,Salvatore Vitale,Peripheral,3,64
413,Pietro Colombo,Peripheral,3,62
414,Paolo Greco,Enabler,3,47
415,Carlo Rossi,Peripheral,3,53
416,Marco Conti,Peripheral,3,39
417,Luigi Colombo,Peripheral,3,27
418,Angelo Rossi,Peripheral,3,34
419,Vincenzo Bianchi,Peripheral,3,39
420,Paolo Colombo,Peripheral,3,40
421,Marco Vitale,Peripheral,3,41
422,Pietro Marino,Peripheral,3,43
423,Carlo Gallo,Peripheral,3,35
424,Mario Conti,Enabler,3,29
425,Luigi Esposito,Peripheral,3,29
426,Angelo Esposito,Peripheral,3,38
427,Giovanni Colombo,Peripheral,3,50
428,Angelo Rossi,Peripheral,3,32
429,Pietro Romano,Enabler,3,29
430,Domenico Bruno,Broker,3,31
431,Paolo Colombo,Peripheral,3,40
432,Carlo Ferrari,Peripheral,3,38
433,Marco Ricci,Enabler,3,61
434,Antonio Greco,Broker,3,28
435,Mario Rossi,Peripheral,3,60
436,Pietro Greco,Peripheral,3,41
437,Luigi Bruno,Peripheral,3,60
438,Giuseppe Russo,Broker,3,30
439,Domenico Colombo,Enabler,3,40
440,Antonio Vitale,Enabler,3,53
441,Angelo Ferrari,Enabler,3,60
442,Giuseppe Bianchi,Broker,3,62
443,Pietro Romano,Peripheral,3,61
444,Salvatore Ricci,Peripheral,3,34
445,Vincenzo Romano,Enabler,3,60
446,Paolo Colombo,Enabler,3,53
447,Giovanni Conti,Peripheral,3,38
448,Marco Colombo,Enabler,3,28
449,Giovanni Vitale,Enabler,3,60
450,Francesco Ricci,Peripheral,3,37
451,Giuseppe Gallo,Peripheral,3,42
452,Mario Rossi,Peripheral,3,57
453,Vincenzo Esposito,Peripheral,3,45
454,Domenico Russo,Peripheral,3,40
455,Paolo Bruno,Peripheral,3,39
456,Giuseppe Conti,Peripheral,3,29
457,Giuseppe Esposito,Peripheral,3,30
458,Salvatore Vitale,Peripheral,3,62
459,Giuseppe Greco,Peripheral,3,27
460,Antonio Esposito,Peripheral,3,36
461,Antonio Ricci,Peripheral,3,60
462,Domenico Russo,Peripheral,3,57
463,Luigi Esposito,Peripheral,3,60
464,Angelo Gallo,Enabler,3,57
465,Giovanni Conti,Peripheral,3,55
466,Vincenzo Ferrari,Peripheral,3,45
467,Luigi Greco,Enabler,3,51
468,Carlo Gallo,Peripheral,3,51
469,Francesco Conti,Peripheral,3,32
470,Marco Ferrari,Peripheral,3,61
471,Giovanni Russo,Enabler,3,56
472,Luigi Rossi,Peripheral,3,50
473,Giovanni Greco,Broker,3,26
474,Domenico Colombo,Coordinator,3,36
475,Pietro Gallo,Broker,3,46
476,Salvatore Russo,Peripheral,3,41
477,Luigi Gallo,Peripheral,3,31
478,Marco Bruno,Enabler,3,28
479,Salvatore Russo,Peripheral,3,61
480,Carlo Conti,Coordinator,3,62
481,Giovanni Vitale,Peripheral,3,56
482,Domenico Greco,Peripheral,3,35
483,Paolo Russo,Peripheral,3,25
484,Paolo Greco,Peripheral,3,49
485,Paolo Rossi,Enabler,3,48
486,Vincenzo Marino,Peripheral,3,41
487,Pietro Bruno,Peripheral,3,32
488,Vincenzo Russo,Peripheral,3,51
489,Mario Bruno,Enabler,3,42
490,Vincenzo Rossi,Enabler,3,51
491,Marco Colombo,Enabler,3,46
492,Marco Ricci,Broker,3,40
493,Francesco Colombo,Broker,3,26
494,Vincenzo Bruno,Peripheral,3,29
495,Marco Ricci,Peripheral,3,42
496,Carlo Ferrari,Peripheral,3,27
497,Pietro Ferrari,Peripheral,3,51
498,Carlo Marino,Peripheral,3,41
499,Domenico Bianchi,Peripheral,3,40
